order_item_id,order_id,product_id,quantity,unit_price,updated_at
5001,1001,201,1,75000.00,2026-08-01T10:00:00
5002,1001,202,1,1500.00,2026-08-01T10:01:00
5003,1002,207,1,6500.00,2026-08-02T10:00:00
5004,1003,205,1,45000.00,2026-08-03T10:00:00
5005,1004,203,1,4500.00,2026-08-04T10:00:00
5006,1004,204,1,2500.00,2026-08-04T10:01:00
5007,1005,207,1,6500.00,2026-08-05T10:00:00
5008,1005,213,2,1200.00,2026-08-05T10:01:00
5009,1006,208,1,-12000.00,2026-08-06T10:00:00
5010,1006,202,1,1500.00,2026-08-06T10:01:00
5011,1007,210,,8500.00,2026-08-07T10:00:00
5012,1008,209,1,2800.00,2026-08-08T10:00:00
5013,1009,215,1,5500.00,2026-08-09T10:00:00
5014,1009,213,2,1200.00,2026-08-09T10:01:00
5015,1010,212,0,7000.00,2026-08-10T10:00:00
5016,1011,211,1,5500.00,2026-08-11T10:00:00
5017,1012,216,-2,2200.00,2026-08-12T10:00:00
5018,1013,208,1,12000.00,2026-08-13T10:00:00
5019,1014,220,1,28000.00,2026-08-14T10:00:00
5019,1014,220,1,28000.00,2026-08-14T10:00:00
